questionText,optionA,optionB,optionC,optionD,correctAnswer,questionLevel
Which element is a halogen?,Oxygen,Nitrogen,Fluorine,Neon,Fluorine,Easy
Which of the following has maximum number of oxidation states?,Manganese,Iron,Chromium,Copper,Manganese,Medium
What is the color of CuSO4 solution?,Green,Blue,Red,Yellow,Blue,Easy
Which of the following is a noble gas?,Hydrogen,Oxygen,Argon,Nitrogen,Argon,Easy
Which oxide is acidic in nature?,Na2O,MgO,CO2,CaO,CO2,Medium
Which of the following is a transition element?,Na,Mg,Fe,K,Fe,Easy
Which gas is liberated when HCl reacts with Zn?,O2,H2,Cl2,N2,H2,Easy
Which of the following has tetrahedral geometry?,NH3,CH4,H2O,CO2,CH4,Medium
Which acid is known as King of Chemicals?,Sulphuric acid,Nitric acid,Hydrochloric acid,Phosphoric acid,Sulphuric acid,Medium
Which salt is used for removing hardness of water?,NaCl,KCl,Na2CO3,NaHCO3,Na2CO3,Medium
Which compound is known as quicklime?,CaCO3,Ca(OH)2,CaO,CaCl2,CaO,Easy
Which of the following is a d-block element?,Na,Cu,Ca,Al,Cu,Medium
What is the oxidation number of chlorine in NaClO3?,+1,+3,+5,+7,+5,Medium
Which of the following forms amphoteric oxide?,Al2O3,Na2O,CaO,CO2,Al2O3,Medium
Which gas is known as laughing gas?,NO,NO2,N2O,CO,N2O,Easy
Which of the following is used in matchsticks?,Sulphur,Phosphorus,Carbon,Magnesium,Phosphorus,Medium
Which of the following is used in photography?,AgCl,NaCl,KCl,CaCl2,AgCl,Easy
Which of the following is a noble metal?,Na,Cu,Ag,Fe,Ag,Medium
Which acid is used in battery?,Nitric acid,Acetic acid,Sulphuric acid,Hydrochloric acid,Sulphuric acid,Easy
Which of the following is used in bleaching powder preparation?,H2SO4,HCl,Cl2,NaOH,Cl2,Medium
Which gas turns moist red litmus blue?,NH3,CO2,Cl2,SO2,NH3,Easy
Which of the following is used as an antiseptic?,NaCl,KMnO4,CaCO3,NaOH,KMnO4,Medium
Which is the lightest metal?,Na,Li,K,Al,Li,Medium
Which element is present in chlorophyll?,Iron,Magnesium,Calcium,Copper,Magnesium,Medium
Which of the following is used in soldering?,Lead,Iron,Copper,Silver,Lead,Medium
