
"Inorganic Chemistry","11","Which contains O-O peroxide linkage?","NO2","H2SO4","O3","BaO2","BaO2","BaO2 contains peroxide ion O2²− with O–O single bond."
"Inorganic Chemistry","12","Maximum hydrogen bonds by one water molecule:","1","2","3","4","4","One water molecule can form 4 H-bonds (2 donors + 2 lone pairs)."
"Inorganic Chemistry","13","Most abundant noble gas in atmosphere:","Neon","Helium","Argon","Xenon","Argon","Atmosphere contains ~0.93% Argon → most abundant noble gas."
"Inorganic Chemistry","14","Geometry & hybridisation of SF6:","Square planar, sp3d2","Octahedral, sp3d2","Trigonal bipyramidal, sp3d","Tetrahedral, sp3","Octahedral, sp3d2","SF6 has six sigma bonds → sp3d2 hybridisation → octahedral shape."
"Inorganic Chemistry","15","Chalcogens belong to which group?","Group 15","Group 16","Group 17","Group 18","Group 16","Chalcogens include O, S, Se, Te → Group 16 elements."
"Inorganic Chemistry","16","Magnetic moment (spin-only) of Ni2+ (d8):","1.73 BM","2.83 BM","3.87 BM","4.90 BM","2.83 BM","Ni2+ = d8 → 2 unpaired electrons → μ = √8 = 2.83 BM."
"Inorganic Chemistry","17","Color of K2Cr2O7 due to:","d-d transitions","Charge transfer transitions","Crystal field splitting","Fluorescence","Charge transfer transitions","Orange color arises from ligand-to-metal charge transfer (O2− → Cr6+)."
"Inorganic Chemistry","18","Which solid is held by covalent network?","Ionic solid","Molecular solid","Covalent or Network solid","Metallic solid","Covalent or Network solid","Atoms are bonded through a continuous covalent network (diamond, SiO2)."
"Inorganic Chemistry","19","IUPAC name for [Co(NH3)6]3+:","Hexaamminecobalt(III)","Hexaamminecobalt(II)","Cobalthexaammine(III)","Tris(ammonia)cobalt(III)","Hexaamminecobalt(III)","NH3 = ammine ligand, 6 ligands = hexaammine, oxidation state = +3."
"Inorganic Chemistry","20","Passing H2S into acidified CuSO4 forms precipitate:","Cu2S","Cu(OH)2","CuS","CuO","CuS","H2S reacts with Cu2+ to form black precipitate of CuS."
