questionText,optionA,optionB,optionC,optionD,correctAnswer,questionLevel
Which of the following is the functional group of alcohols?,–OH,–COOH,–CHO,–CO–,–OH,Easy
Which compound is an example of an alkene?,Ethane,Ethyne,Ethene,Methane,Ethene,Easy
What is the IUPAC name of CH3–CH2–OH?,Methanol,Ethanol,Propanol,Butanol,Ethanol,Easy
Which of the following is an aromatic compound?,Cyclohexane,Benzene,Propane,Hexane,Benzene,Medium
Which reagent is used to test unsaturation in hydrocarbons?,Bromine water,Tollen’s reagent,Fehling’s solution,Baeyer’s reagent,Bromine water,Medium
What is the product of oxidation of a primary alcohol?,Aldehyde,Carboxylic acid,Ester,Alkane,Aldehyde,Medium
Which of the following undergoes substitution reaction?,Alkane,Alkene,Alkyne,Alcohol,Alkane,Medium
Which hydrocarbon has a triple bond?,Ethane,Ethene,Ethyne,Propane,Ethyne,Easy
Which reagent is used to distinguish aldehyde from ketone?,Bromine water,Tollen’s reagent,Fehling’s reagent,Ammoniacal silver nitrate,Tollen’s reagent,Medium
What is the product of hydration of ethene?,Ethanol,Ethyne,Acetone,Ethane,Ethanol,Easy
Which compound shows position isomerism?,Butane,Butene,Propane,Ethene,Butene,Medium
Which compound is used as a solvent in dry cleaning?,Ethanol,Carbon tetrachloride,Benzene,Chloroform,Carbon tetrachloride,Medium
Which of the following is a secondary alcohol?,Propan-2-ol,Ethanol,Methanol,Butan-1-ol,Propan-2-ol,Medium
Which of the following gives yellow precipitate with iodine?,Methanol,Ethanol,Acetone,Propanone,Acetone,Medium
Which of the following is not a polymer?,PVC,Polystyrene,Glucose,Polyethylene,Glucose,Easy
What is the formula of acetic acid?,CH3OH,CH3COOH,HCOOH,CH3CHO,CH3COOH,Easy
Which of the following undergoes nucleophilic substitution easily?,Alkyl chloride,Alkyl fluoride,Alkyl bromide,Alkyl iodide,Alkyl iodide,Medium
What is the product of oxidation of secondary alcohol?,Aldehyde,Carboxylic acid,Ketone,Ester,Ketone,Medium
Which of the following is a monomer of polythene?,Ethene,Propene,Ethyne,Butene,Ethene,Easy
Which gas is evolved during decarboxylation of sodium acetate with soda lime?,CO2,CH4,H2,N2,CH4,Medium
Which of the following is an example of electrophile?,Cl–,Br–,H+,OH–,H+,Medium
Which reagent is used in the conversion of alcohol to alkene?,KMnO4,Concentrated H2SO4,HCl,NaOH,Concentrated H2SO4,Medium
Which compound has the functional group –CO–NH2?,Amine,Amide,Ester,Aldehyde,Amide,Medium
Which compound gives effervescence with Na metal?,Ketone,Alcohol,Ester,Acid,Alcohol,Easy
Which of the following is not an organic compound?,Methane,Ethane,Carbon dioxide,Glucose,Carbon dioxide,Easy
