"Test Name","Question Number","Question Text","Option 1","Option 2","Option 3","Option 4","Correct Answer","Explanation"
"Organic Chemistry","1","What is the product when Benzene is treated with CH3Cl in presence of anhydrous AlCl3 (Friedel–Crafts Alkylation)?","Chlorobenzene","Toluene","Aniline","Phenol","Toluene","CH3Cl + AlCl3 alkylates benzene to give methylbenzene (toluene)."
"Organic Chemistry","2","Which reagent distinguishes aldehyde from ketone (Tollens' Test)?","Acidified KMnO4","Fehling's solution","Iodine in NaOH","Tollens' Reagent","Tollens' Reagent","Tollens' reagent gives silver mirror test only with aldehydes."
"Organic Chemistry","3","What type of isomerism is shown by but-1-ene and but-2-ene?","Functional Isomerism","Chain Isomerism","Positional Isomerism","Metamerism","Positional Isomerism","Double bond position changes from C1 to C2 → positional isomers."
"Organic Chemistry","4","The base hydrolysis of an ester is known as:","Saponification","Esterification","Hydration","Polymerization","Saponification","Base breaks ester to form alcohol + carboxylate → soap formation."
"Organic Chemistry","5","In R-X + CN- → R-CN + X-, CN- acts as:","Electrophile","Leaving Group","Lewis Acid","Nucleophile","Nucleophile","CN- donates electrons to carbon → nucleophilic substitution."
"Organic Chemistry","6","Which compound undergoes Cannizzaro reaction?","Acetone","Acetaldehyde","Formaldehyde","Propionaldehyde","Formaldehyde","Aldehydes without alpha-H undergo Cannizzaro reaction."
"Organic Chemistry","7","Which has the lowest boiling point?","n-Butane","Isobutane","n-Pentane","2,2-Dimethylpropane","2,2-Dimethylpropane","More branching → weaker Van der Waals forces → lowest b.p."
"Organic Chemistry","8","Ozonolysis of 2-methylpropene produces:","Propanone + Methane","Ethanal + Methanal","Propanone + Methanal","Ethanal + Ethanal","Propanone + Methanal","Double bond cleavage gives acetone and formaldehyde."
"Organic Chemistry","9","Which is an aromatic amine?","Methylamine","Aniline","Dimethylamine","Ethylamine","Aniline","NH2 attached to benzene ring → aromatic amine."
"Organic Chemistry","10","Common intermediate in E1 & SN1 reactions is:","Carbanion","Carbocation","Free Radical","Cyclic Transition State","Carbocation","Both reactions involve formation of a carbocation."
